,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,24,EDM,C,56,33,72,105,21,20,24,9,0,11,44,28,0,200,16.5,314,1240:36,22:09,316,322,49.5,24,61,36,47,ASnhl-1Byng-20Hart-1Ross-1Selke-27Pearson-1,mcdavco01
2,Leon Draisaitl,25,EDM,C,56,31,53,84,29,22,15,15,1,8,36,17,0,168,18.5,302,1242:33,22:11,574,457,55.7,12,37,56,71,ASnhl-4Hart-8Selke-13,draisle01
3,Brad Marchand,32,BOS,LW,53,29,40,69,26,46,21,4,4,5,23,14,3,143,20.3,228,1002:15,18:55,11,24,31.4,11,66,42,36,ASnhl-1Hart-5Selke-9,marchbr03
4,Mitch Marner,23,TOR,RW,55,20,47,67,21,20,20,0,0,5,31,14,2,156,12.8,295,1233:29,22:26,4,1,80.0,41,23,53,69,ASnhl-1Byng-24Hart-19Selke-10,marnemi01
5,Patrick Kane,32,CHI,RW,56,15,51,66,-7,14,12,3,0,3,32,19,0,191,7.9,323,1244:52,22:14,2,5,28.6,15,13,33,45,ASnhl-4Byng-18Hart-15,kanepa01
6,Auston Matthews,23,TOR,C,52,41,25,66,21,10,31,10,0,12,22,3,0,222,18.5,366,1120:46,21:33,450,417,51.9,47,57,47,53,ASnhl-2Byng-3Hart-2Richard-1Selke-27,matthau01
7,Mikko Rantanen,24,COL,RW,52,30,36,66,30,34,21,9,0,7,21,15,0,177,16.9,310,1035:44,19:55,32,32,50.0,20,26,32,16,ASnhl-2Hart-10Selke-18,rantami01
8,Nathan MacKinnon,25,COL,C,48,20,45,65,22,37,12,8,0,2,28,17,0,206,9.7,374,977:29,20:22,239,254,48.5,15,38,16,29,ASnhl-3Byng-11Hart-3Selke-22,mackina01
9,Mark Scheifele,27,WPG,C,56,21,42,63,-4,12,17,4,0,4,29,13,0,126,16.7,205,1173:54,20:58,352,355,49.8,38,31,48,37,Byng-16,scheima01
10,Sidney Crosby,33,PIT,C,55,24,38,62,8,26,18,5,1,5,21,17,0,159,15.1,251,1121:54,20:24,676,586,53.6,28,44,51,54,ASnhl-5Hart-4Selke-14,crosbsi01
11,Jonathan Huberdeau,27,FLA,LW,55,20,41,61,12,36,15,5,0,1,22,19,0,122,16.4,189,1012:34,18:25,17,22,43.6,11,51,37,43,ASnhl-2Hart-13,huberjo01
12,Mark Stone,28,VEG,RW,55,21,40,61,26,28,14,6,1,8,29,11,0,98,21.4,173,1048:21,19:04,12,18,40.0,33,31,58,24,ASnhl-3Hart-9Selke-3,stonema01
